Country,Province,Province ID,Population
Serbia,Shumadija,0,290900
Serbia,Bor,1,123848
Serbia,Branichevo,2,180480
Serbia,Belgrade,3,1639121
Serbia,Jablanica,4,215463
Serbia,South Bachka,5,607835
Serbia,South Banat,6,291327
Serbia,Kolubara,7,174228
Serbia,Machva,8,297778
Serbia,Moravica,9,212149
Serbia,Nishava,10,373404
Serbia,Pchinja,11,158717
Serbia,Pirot,12,92277
Serbia,Danube,13,198184
Serbia,Pomoravlje,14,212839
Serbia,Rashka,15,300102
Serbia,Rasina,16,240463
Serbia,North Bachka,17,185552
Serbia,North Banat,18,146690
Serbia,Central Banat,19,186851
Serbia,Srem,20,311053
Serbia,Toplica,21,90600
Serbia,Zajechar,22,118295
Serbia,West Bachka,23,187581
Serbia,Zlatibor,24,284929
